Posição,Município,População Estimada 2024,População Censo 2022,Diferença (2024-2022)
1,Rio de Janeiro,6 729 894,6 211 223,"+8,18%"
2,São Gonçalo,960 652,896 744,"+7,13%"
3,Duque de Caxias,866 347,808 161,"+7,20%"
4,Nova Iguaçu,843 046,785 867,"+7,28%"
5,Campos dos Goytacazes,519 011,483 540,"+7,34%"
6,Belford Roxo,518 263,483 087,"+7,28%"
7,Niterói,516 720,481 749,"+7,26%"
8,São João de Meriti,466 536,440 962,"+5,80%"
9,Petrópolis,294 983,278 881,"+5,77%"
10,Volta Redonda,279 898,261 563,"+7,01%"
11,Macaé,264 138,246 391,"+7,20%"
12,Magé,244 092,228 127,"+7,00%"
13,Itaboraí,240 040,224 267,"+7,03%"
14,Cabo Frio,238 166,222 161,"+7,20%"
15,Maricá,211 986,197 277,
16,Nova Friburgo,203 328,189 939,
17,Barra Mansa,181 688,169 894,
18,Angra dos Reis,179 210,167 434,
19,Mesquita,178 803,167 127,
20,Teresópolis,176 692,165 123,
21,Rio das Ostras,168 099,156 491,
22,Nilópolis,155 544,146 774,
23,Queimados,149 093,140 523,
24,Araruama,137 773,129 671,
25,Resende,137 613,129 612,
26,Itaguaí,123 980,116 841,
27,São Pedro da Aldeia,110 556,104 029,
28,Itaperuna,107 246,101 041,
29,Japeri,102 149,96 289,
30,Barra do Piraí,98 501,92 883,
31,Saquarema,95 201,89 559,
32,Seropédica,84 737,80 596,
33,Três Rios,82 300,78 346,
34,Valença,71 462,67 753,
35,Cachoeiras de Macacu,59 837,56 943,
36,Rio Bonito,59 113,56 276,
37,Guapimirim,54 300,51 696,
38,Casimiro de Abreu,48 563,46 110,
39,Paraty,47 614,44 872,
40,São Francisco de Itabapoana,47 368,45 059,
41,Paraíba do Sul,44 467,42 063,
42,Santo Antônio de Pádua,43 686,41 325,
43,Paracambi,43 656,41 375,
44,Mangaratiba,43 624,41 220,
45,Armação dos Búzios,42 442,40 006,
46,São Fidélis,41 197,38 939,
47,São João da Barra,38 708,36 573,
48,Bom Jesus do Itabapoana,37 172,35 173,
49,Vassouras,35 904,33 976,
50,Tanguá,32 858,31 086,
51,Arraial do Cabo,32 794,30 986,
52,Itatiaia,32 694,30 908,
53,Paty do Alferes,31 345,29 619,
54,Bom Jardim,29 736,28 102,
55,Iguaba Grande,29 577,27 920,
56,Piraí,29 054,27 474,
57,Miracema,28 411,26 881,
58,Miguel Pereira,28 123,26 578,
59,Pinheiral,25 085,24 298,
60,Itaocara,23 643,22 919,
61,Quissamã,23 126,22 393,
62,São José do Vale do Rio Preto,22 799,22 080,
63,Silva Jardim,22 026,21 352,
64,Conceição de Macabu,21 769,21 104,
65,Cordeiro,21 444,20 783,
66,Porto Real,21 064,20 373,
67,Cantagalo,19 996,19 390,
68,Sapucaia,18 289,17 729,
69,Mendes,18 049,17 502,
70,Rio Claro,17 950,17 401,
71,Porciúncula,17 832,17 288,
72,Carmo,17 740,17 198,
73,Sumidouro,15 690,15 206,
74,Natividade,15 550,15 074,
75,Cambuci,15 070,14 616,
76,Italva,14 517,14 073,
77,Carapebus,14 325,13 847,
78,Quatis,14 158,13 682,
79,Cardoso Moreira,13 403,12 958,
80,Engenheiro Paulo de Frontin,12 648,12 242,
81,Areal,12 236,11 828,
82,Aperibé,11 420,11 034,
83,Duas Barras,11 354,10 980,
84,Trajano de Moraes,10 652,10 302,
85,Santa Maria Madalena,10 579,10 232,
86,Varre-Sai,10 559,10 207,
87,Rio das Flores,9 264,8 954,
88,Comendador Levy Gasparian,9 044,8 741,
89,São Sebastião do Alto,7 999,7 750,
90,Laje do Muriaé,7 584,7 336,
91,São José de Ubá,7 315,7 070,
92,Macuco,5 601,5 415,
Total,Rio de Janeiro,17 219 679,16 055 174,"+7,26%"
